Species,name
GLF,Gladiator goby
GTC,
GOL,
GVB,Poison goby
GVC,Reticulate goby
GVD,Rippled coralgoby
GOI,
GVF,Checkered goby
GVH,Longjaw goby
GOY,
GBF,Two-spotted goby
GBK,Crescent goby
GOJ,
GMD,Splitbanded goby
GMN,
HGE,
HJP,Poreless goby
HUB,
HYX,Bumblebee fish
HGG,
IYG,Cheekspot goby
ISM,
IQS,Decorated goby
IQT,Ornate goby
KGC,Cardinal goby
GTU,
GPL,Bay goby
GOF,Fries's goby
IBG,
GHO,Halfblind goby
GPP,
LLI,Oman goby
LFR,
GOK,Whitecap goby
UUU,
YUF,
MDW,Largetooth goby
MAY,Flagfin prawn goby
MNW,
MBD,
NBN,
MBF,Knout goby
MJF,
MLZ,
MBE,
MNH,
NMI,
NMO,
NMZ,
NSN,Orangespotted goby
OGU,Sharptail goby
OFF,
OOD,Hole goby
OUC,
NZG,Spinecheek goby
OUT,
OUD,
GPO,
GGX,Mauve goby
GPI,Meteor goby
PKW,
RGE,Redhead goby
UEH,Emerald coral goby
OTU,
IYB,
PWM,
KRR,
RLS,
FTF,
FTA,Barred mudskipper
FTI,Atlantic mudskipper
QZE,Walton's mudskipper
YGK,
URD,Scalynape goby
YSI,
OGH,
RLO,
UAI,Girdled goby
UAL,Randall's goby
RSO,Tubenose goby
SGK,
EDC,
EDA,
EDM,
IGM,
ILJ,
YCS,Secret goby
QUY,
RIY,
HBA,
IYV,
IYA,
IYL,Bichique
IYS,Stimpson's goby
IYX,
IGB,Twinspot goby
IHD,
EGT,Grotto goby
EGB,Beaufort's goby
IFA,
TBD,
UVL,
UFB,
UUF,
TAG,Eel worm goby
TKC,
RSB,Tusked goby
GMJ,
TMO,Lord's goby
TGN,
QOG,
TMN,
QFA,Fan shrimp-goby
TVD,
TMK,Okinawa rubble goby
QGY,Winterbottom's goby
TOV,Red-barred rubble goby
TKS,
TKP,
TFL,Blind goby
VAA,
VFV,
VFW,Sixspot goby 
VAM,Ambanoro prawn-goby
VAN,
VAY,Orangebelly goby
WED,
WHZ,
WHV,Cameroon goby
YOC,
YOK,
ZPC,Slender mudskipper
FGX,Freshwater gobies nei
GPA,Gobies nei
RYR,Loach goby
GOD,
KRB,
IPN,
DFD,Pugjaw wormfish
GLK,Curious wormfish
GHK,Yellowstripe wormfish
MDH,
NME,Elegant firefish
IFQ,Fire goby
OYY,
GLY,
GSO,
IEK,Rao's hover goby
TKU,
UHM,Blue gudgeon
JBX,Wormfishes nei
XAD,
XPS,
XTO,
XXA,Flathead wriggler
XMQ,
OOU,
OWB,
ERL,Chinese sleeper
ZEF,Yellow tang
ZEV,Sailfin tang
ZEA,Twotone tang
ZLV,Yellowtail tang
ZML,Spotted tang
AQB,Ocean surgeon
AQO,Blue tang surgeonfish
AQR,Black-spot surgeonfish
AQV,Orangespot surgeonfish
AQH,Doctorfish
AQT,Convict surgeonfish
MDO,Monrovia doctorfish
AQI,Lined surgeonfish
AQN,Brown surgeonfish
AQQ,Black surgeonfish
AVQ,Sohal surgeonfish
DGV,Ringtail surgeonfish
DGW,Elongate surgeonfish
DMB,Powderblue surgeonfish
AXQ,
NAI,Orangespine unicornfish
NAS,Bluespine unicornfish
NAB,Spotted unicornfish
NUH,Palette surgeonfish
TKB,Twospot surgeonfish
TCV,Striated surgeonfish
NUF,Biafra doctorfish
SUR,Surgeonfishes nei
TUF,
RIT,Threadfin scat
ZBV,Ninespine batfish
HUO,Orbfish
RSM,Panama spadefish
LXR,Orbicular batfish
BAO,Longfin batfish
IET,Dusky batfish
BAT,Batfishes
TDO,African spadefish
HRF,Atlantic spadefish
HTZ,Pacific spadefish
HRL,West African spadefish
SPA,Spadefishes nei
TFG,Spotted scat
SCT,Scats
IGA,Streamlined spinefoot
IGR,Blue-spotted spinefoot
IGD,Barred spinefoot
IGF,Mottled spinefoot
IGV,Streaked spinefoot
SRI,Marbled spinefoot
IGL,Labyrinth spinefoot
SCN,White-spotted spinefoot
SGU,Goldlined spinefoot
IGI,Golden-lined spinefoot
IGU,Dusky spinefoot
IGG,Magnificent rabbitfish
IGN,Black foxface
IGP,Blackeye rabbitfish
IGE,Masked spinefoot
IGT,Peppered spinefoot
IGC,Goldspotted spinefoot
IUR,Variegated spinefoot
IUS,Little spinefoot
IUT,Brown-spotted spinefoot
IUU,Shoemaker spinefoot
IUI,Threeblotched rabbitfish
IUN,Blotched foxface
IUP,Bicolored foxface
IUE,Vermiculated spinefoot
IUG,Barhead spinefoot
IUL,Foxface
SPI,Spinefeet(=Rabbitfishes) nei
LVM,Luvar
ZAO,Moorish idol
BON,Atlantic bonito
BIP,Striped bonito
BEP,Eastern Pacific bonito
BAU,Australian bonito
BZX,Bonitos nei
MAS,Chub mackerel
MAC,Atlantic mackerel
MAA,Blue mackerel
MAZ,Scomber mackerels nei
BOP,Plain bonito
WAH,Wahoo
DOT,Dogtooth tuna
RAB,Short mackerel
RAG,Indian mackerel
RAF,Island mackerel
RAX,Indian mackerels nei
CHY,Chinese seerfish
COM,Narrow-barred Spanish mackerel
GUT,Indo-Pacific king mackerel
STS,Streaked seerfish
KGM,King mackerel
SSM,Atlantic Spanish mackerel
CER,Cero
SIE,Pacific sierra
QUM,Queensland school mackerel
MAW,West African Spanish mackerel
NPH,Japanese Spanish mackerel
BBM,Broad-barred king mackerel
BRS,Serra Spanish mackerel
KOS,Korean seerfish
MOS,Monterey Spanish mackerel
PAP,Papuan seerfish
KAK,Kanadi kingfish
ASM,Australian spotted mackerel
KGX,Seerfishes nei
BUK,Butterfly kingfish
LEB,Leaping bonito
SHM,Shark mackerel
DBM,Double-lined mackerel
FRI,Frigate tuna
BLT,Bullet tuna
FRZ,Frigate and bullet tunas
LTA,Little tunny(=Atl.black skipj)
BKJ,Black skipjack
KAW,Kawakawa
EHZ,
SKJ,Skipjack tuna
BFT,Atlantic bluefin tuna
PBF,Pacific bluefin tuna
LOT,Longtail tuna
BLF,Blackfin tuna
ALB,Albacore
SBF,Southern bluefin tuna
YFT,Yellowfin tuna
BET,Bigeye tuna
TUS,True tunas nei
SLT,Slender tuna
MAX,Mackerels nei
TUN,Tunas nei
SFA,Indo-Pacific sailfish
SAI,Atlantic sailfish
BUM,Blue marlin
BLM,Black marlin
BXQ,Marlins nei
MSP,Mediterranean spearfish
MLS,Striped marlin
WHM,Atlantic white marlin
SSP,Shortbill spearfish
SPF,Longbill spearfish
RSP,Roundscale spearfish
WHH,Spearfishes nei
BIL,"Marlins,sailfishes,etc. nei"
SWO,Swordfish
SNK,Snoek
WSM,White snake mackerel
DLT,Striped escolar
NIM,American sackfish
SKD,Sackfish
LEC,Escolar
NEN,Black gemfish
OIL,Oilfish
PDG,Slender escolar
TEZ,Antarctic escolar
GEM,Silver gemfish
RXA,Long-finned escolar
RXP,Royal escolar
RQB,Bengal escolar
RBJ,Short-lined escolar
RMW,Nakamura's escolar
RXX,
RXJ,Paxton's escolar
THM,Black snoek
EMG,Domine
TBS,Tonga escolar
NLT,Black snake mackerel
PRP,Roudi escolar
GES,Snake mackerel
GEP,"Snake mackerels, escolars nei"
ASZ,Razorback scabbardfish
BDL,Elongate frostfish
BDF,Bigeye frostfish
BWN,Slender frostfish
BEH,Frostfishes
LHT,Largehead hairtail
JSU,Pearly hairtail
TCW,Hairtails nei
EVP,Poey's scabbardfish
SFS,Silver scabbardfish
SDF,Pacific scabbardfish
UEF,Doubtful scabbardfish
LKP,Coromandel hairtail
SVH,Savalai hairtail
BSF,Black scabbardfish
APH,Intermediate scabbardfish
DDJ,Smalleye scabbardfish
BOX,
TKR,Crested hairtail
EGM,Smallhead hairtail
EWK,Longtooth hairtail
CUT,"Hairtails, scabbardfishes nei"
TUX,Tuna-like fishes nei
TGV,Smalleye squaretail
QJX,Squaretails nei
BLB,Blue butterfish
TMB,Southwest Atlantic butterfish
BWB,Starry butterfish
BQX,Butterfishes nei
SIP,Silver pomfret
CPO,Chinese silver pomfret
XPO,Silver pomfrets nei
ERP,American harvestfish
BUT,Atlantic butterfish
PPO,Pacific pompano
WPM,Pacific harvestfish
YQP,Salema butterfish
BTG,"Gulf butterfishes, etc. nei"
BUX,"Butterfishes, pomfrets nei"
DRI,Indian driftfish
IMB,Silver-rag driftfish
DRF,Brown driftfish
DRK,Ariommatids nei
FPC,Climbing perch
TKY,Tailspot ctenopoma
TEN,
NDI,Rocky kurper
CBG,Driftfish
UBB,Black fathead
UBA,Blue fathead
UBP,Cape fathead
UBO,
UBU,Bigeye cigarfish
UJI,Shadow driftfish
CUP,
NMG,Man-of-war fish
NMW,
PSC,Freckled driftfish
VTX,Driftfishes nei
CEO,Rudderfish
ICA,Southern driftfish
HDT,New Zealand ruffe
HDV,Imperial blackfish
SEY,Violet warehou
HDW,Pemarco blackfish
HFD,Pelagic butterfish
HVU,Cornish blackfish
SXE,Schedophilus nei
TUT,Tasmanian ruffe
SEO,Choicy ruff
SEM,Common warehou
SEI,Palm ruff
SEP,Silver warehou
SEU,White warehou
BSP,Warehou nei
BWA,Bluenose warehou
HGY,Black driftfish
HYW,Barrelfish
BUP,Pacific rudderfish
CEN,"Ruffs, barrelfishes nei"
FGG,Giant gourami
EOH,Malay combtail
OAF,Banded gourami
TSB,Frail gourami
BDS,Siamese fighting fish
MTK,Spotted gourami
FCO,Eyespot gourami
FMA,
FMC,Spiketail paradisefish
FRR,
FGS,Snakeskin gourami
TGH,Three spot gourami
GOM,Gouramis nei
TKL,Pygmy gourami
MRH,Roundtail paradisefish
FGO,Kissing gourami
IUC,
LFP,Pikehead
YRS,European barracuda
YRA,Sharpfin barracuda
BAC,Pickhandle barracuda
YRB,Obtuse barracuda
YRN,Red barracuda
YRG,Pacific barracuda
GBA,Great barracuda
YRE,Mexican barracuda
YRU,Guachanche barracuda
YRI,Pelican barracuda
YRP,Southern sennet
YRH,Heller's barracuda
YRJ,
YRC,Yellowstripe barracuda
BAG,Guinean barracuda
BAB,Blackfin barracuda
BAN,
BAQ,Yellowtail barracuda
YBS,Bigeye barracuda
BVV,Yellowmouth barracuda
BAR,Barracudas nei
BAZ,"Barracudas, etc. nei"
FON,
DAO,Bigeye stargazer
GIO,Sandy stargazer
HUJ,
LKA,Smoothlip stargazer
MXB,
PJV,Sailfin stargazer
AIT,Tasselled triplefin
AXA,Carmine triplefin
BEY,Mottled twister
BDO,Giant triplefin
BFA,Southern barred triplefin
EBA,Spotted spiny-eye triplefin
CGJ,Lizard triplefin
YTJ,Cryptic triplefin
EAV,Lofty triplefin
EAB,Yellow triplefin
EAZ,Highcrest triplefin
EBO,Blotched triplefin
FOH,Chatham deep-water triplefin
GID,Obscure triplefin
GBU,Japanese blacktail triplefin
GHC,Spotted robust triplefin
HCQ,
FVB,Red triplefin
HGT,
KAS,Scaly headed triplefin
LLD,Eastern jumping blenny
LNI,Twinspot triplefin
NFB,Tropical scaly-headed triplefi
NCE,Blue-dot triplefin
OBA,Oblique-swimming triplefin
RND,Longfinned triplefin
TBU,Bullhead triplefin
TFC,Clarke's triplefin
TDA,Black-faced blenny
UCX,Largemouth triplefin
VVX,Threefin blennies nei
BEK,Lace klipfish
BFG,Snaky klipfish
AXB,Slender platanna-klipfish
LNS,Cline
NOJ,Ladder klipfish
NUA,Sad klipfish
GFE,
RSJ,Golden weedfish
EIB,Orange clinid
FUM,Mousey klipfish
GBE,Spotted kelpfish
HUE,
MRD,Nosestripe klipfish
MXC,
PVG,Grass klipfish
RCG,
SIF,Leafy klipfish
SXN,
XEK,Platanna klipfish
XYX,Clinids fishes nei
AIX,
AIV,Dwarf blenny
AIJ,Kirk's blenny
NDR,
NUN,Aden blenny
JEA,Horned rockskipper
JEB,Arabian blenny
JEC,Simony's blenny
JED,Orangedotted blenny
NUO,Butterfly blenny
NVB,
NUW,
NUD,Lance blenny
AIS,
YBA,
NLB,
HWN,
SJJ,Giant blenny
HDP,Looseskin blenny
HSB,Striped blenny
IRL,
IRP,Filamentous blenny
YFG,Montagu's blenny
OOP,Tripplespot blenny
ECQ,Fourline blenny
ECV,
EBE,
YUT,Black blenny
EOC,
EXR,Leopard blenny
GLJ,Jugular blenny
HUF,Highbrow rockskipper
HYQ,Oyster blenny
HZV,
HYV,Barnaclebill blenny
ISL,Imspringer
IQJ,Rippled rockskipper
IQK,Lined rockskipper
IQP,Scarface rockskipper
IQQ,Spotted rockskipper
LFM,Spotty blenny
LFD,
LWH,
LIW,Fowler's rockskipper
UND,Mangrove blenny
MHB,
MBT,
KVP,Fringed blenny
NAV,Pygmy blenny
OAY,Oman blenny
OOO,
NZY,Arab blenny
NZW,Mekran blenny
NZV,Muzzled blenny
OXS,Omox blenny
OFT,
PBO,
QAO,
QAR,
QAV,
QAW,Rock-pool blenny
QAY,Tentacled blenny
QAZ,
QCS,Cheekspot blenny
QCW,Tasseled blenny
YPY,
YST,
TUO,Ambon rockskipper
YUH,Hepburn's blenny
UXK,
TSL,Arabian fangblenny
UAJ,Floral blenny
UAK,Variable sabretooth blenny
FBH,
IBY,
LGZ,Sabertooth blenny
IEU,Townsend's fangblenny
ESL,Natal rockskipper
RNP,Barred-chin blenny
IAU,
IAF,Jewelled blenny
LLR,Molly miller
BSD,
BFK,
ULS,Seychelle's blenny
XFU,Japanese snake blenny
XMR,Hairtail blenny
MWJ,
BLE,Combtooth blennies
ICN,Ragfish
SKP,
KUL,Nurseryfish
CNA,Snakehead
CNP,Spotted snakehead
FSS,Striped snakehead
FIS,Indonesian snakehead
HBC,Barca snakehead
KNM,Blotched snakehead
KNA,
NQN,
FHA,Small snakehead
FSN,Snakeheads(=Murrels) nei
GXC,
RKF,
QFW,African obscure snakehead
QRX,Parachanna snakeheads nei
NRE,Tentacled dragonet
BFM,
LYY,Dragonet
YBI,Indian deepwater dragonet
YBL,Smallhead dragonet
YBR,Blotchfin dragonet
YBY,
YBZ,
YCC,Margaret's dragonet
YCO,Sand dragonet
YCY,
YCZ,Arrow dragonet
LLJ,
DAY,Fingered dragonet
DGG,
DGT,Pygmy dragonet
DRC,Dainty dragonet
DRB,Shango dragonet
EHS,
FOC,Common stinkfish
NSJ,Japanese dragonet
LNK,Ladder dragonet
DGB,Lancer dragonet
OUS,
REK,Spotted stinkfish
SKS,Spotfin dragonet
TWB,Phaeton dragonet
YVX,Dragonets nei
EDH,
DRN,
LLH,Island kelpfish
UCM,
YTR,Deep-water blenny
DLU,Gal·pagos four-eyed blenny
MRF,Foureye rockskipper
EXS,Sargassum blenny
LSG,Palehead blenny
KVA,Hairy blenny
MTF,
MRV,
NMS,Threadfin blenny
RCV,
RMX,Mexican blenny
SKT,
XER,Redrump blenny
NBP,Roughhead blenny
NBI,Spinyhead blenny
NPL,Orangethroat pikeblenny
CZA,Angel blenny
EKM,Reefsand blenny
EBT,Banner blenny
EBB,Blackhead blenny
HBI,Wrasse blenny
LUZ,Arrow blenny
MKS,Tufted blenny
NCB,Sarcastic fringehead
OTC,Warthead blenny
TMG,Panamanian worm blenny
NYA,Slender blenny
SXH,Longfin escolar
ESK,Carolina pygmy sunfish
REG,Golden redfish
SFV,Norway redfish
WRO,Widow rockfish
YRO,Yellowtail rockfish
SFP,Treefish
SEQ,Rosy rockfish
SED,Olive rockfish
SFY,Blue rockfish
OPP,Pacific ocean perch
SBC,Bocaccio rockfish
SFW,Vermilion rockfish
REB,Beaked redfish
REC,Cape redfish
REN,Acadian redfish
SPG,Canary rockfish
SGO,Chilipepper rockfish
SFO,Starry rockfish
SFT,Rougheye rockfish
SFB,Shortraker rockfish
SFJ,Copper rockfish
SFD,Splitnose rockfish
SFE,Greenstriped rockfish
SFQ,
SFK,Shortbelly rockfish
SFG,Quillback rockfish
SEJ,
SFL,Korean rockfish
SFZ,
SWD,Yellowmouth rockfish
SBY,Silvergray rockfish
RMG,Black rockfish
RNV,Tiger rockfish
RPJ,Redstripe rockfish
RRV,Yelloweye rockfish
RVW,Pygmy rockfish
RVC,Dusky rockfish
RVT,Stripetail rockfish
RVU,Harlequin rockfish
RVP,Northern rockfish
RVN,China rockfish
RVH,Rosethorn rockfish
RVB,Redbanded rockfish
RVR,Aurora rockfish
RVZ,Sharpchin rockfish
RVM,Blackgill rockfish
RFC,Darkblotched rockfish
REQ,Patagonian redfish
QYR,Greenspotted rockfish
QYS,Gopher rockfish
QYT,Cowcod
QYV,Bank rockfish
RED,Atlantic redfishes nei
BER,
EBK,
HST,
IKY,
ICG,Decoy scorpionfish
NMA,
BBS,Black scorpionfish
RSE,Red scorpionfish
SBJ,Barbfish
SGN,Plumed scorpionfish
SGZ,California scorpionfish
SIQ,Player scorpionfish
SMW,Pacific spotted scorpionfish
SOQ,Sonora scorpionfish
SLQ,Senegalese rockfish
SNQ,Small red scorpionfish
SSW,Angola rockfish
EZS,Slender rockfish
MZS,Madeira rockfish
SVV,Spotted-fin rockfish
SCS,"Scorpionfishes, rockfishes nei"
PIH,Blackfoot firefish
PDW,
BRF,Blackbelly rosefish
HFR,Red gurnard perch
IJP,Rosefish
ROK,Rosefishes nei
PIS,Ghanean rockfish
POI,Offshore rockfish
PZM,Large-headed scorpionfish
QBK,Speckled deepwat. scorpionfish
QKO,S.Helena deepwat. scorpionfish
ZPS,Speckled scorpionfish
PFY,
SOF,
SOV,Lowfin scorpionfish
UAY,African spotted scorpionfish
UBW,
SJC,Jenkin's scorpionfish
SJG,Humpbacked scorpionfish
SJH,Weedy stingfish
QIZ,Bearded scorpionfish
QJA,Whiteblotched scorpionfish
QJB,Raggy scorpionfish
SJB,Spotfin scorpionfish
SFH,
TOH,Leaf scorpionfish
TSO,
PZU,Plaintail turkeyfish
PZO,Red lionfish
PZT,Broadbarred firefish
PZR,Radial firefish
PZX,Hawaiian turkeyfish
UHQ,Devil firefish
DDZ,Zebra turkeyfish
DDI,Twospot turkeyfish
DDY,Shortfin turkeyfish
DDB,Hawaiian lionfish
RIH,
PHW,
AQL,
HZE,
SJU,Shortspine thornyhead
SJZ,Longspine thornyhead
SJW,Broadbanded thornyhead
TIA,Cape scorpionfish
TJX,Atlantic thornyhead
TZY,Spiny scorpionfish
XTY,
ERM,
LII,
MXR,
NNX,Orange-banded scorpionfish
SVG,Channeled rockfish
PBK,
SCO,Scorpionfishes nei
BLY,Shortfin searobin
GUN,Piper gurnard
GUY,Gurnards nei
KUG,Bluefin gurnard
GUU,Tub gurnard
CTZ,Streaked gurnard
GUC,Cape gurnard
CGY,Gabon gurnard
CZS,Spiny red gurnard
GUM,Longfin gurnard
KSU,Lesser gurnard
GUI,Indo-Pacific gurnards
GUR,Red gurnard
LDM,
LDY,Scaly gurnard
LDN,Butterfly gurnard
LDR,Carol's gurnard
LEP,Spiny gurnard
LDV,Large-scaled gurnard
IBK,Scalebreast gurnard
IEE,Bullhorn gurnard
IEF,Scalybreast gurnard
PQA,Spiny searobin
PQT,Bluewing searobin
PQU,Red searobin
PQP,Mexican searobin
PQC,Northern searobin
SRA,Atlantic searobins
BEG,Latchet(=Sharpbeak gurnard)
JGU,Spotted gurnard
GUG,Grey gurnard
GUX,"Gurnards, searobins nei"
CMQ,Spotted coral croucher
AXL,
AVE,
AAZ,
CVM,
EXP,
KKF,
KRO,
NPT,Threefin velvetfish
PKG,
PJU,Crested scorpionfish
ERO,Pitted stonefish
INU,
LSA,
MNO,Onestick stingfish
MNQ,
KVQ,Obliquebanded stingfish
KVR,Grey stingfish
PKM,Blackfin stonefish
SJL,
QFU,Red Sea stonefish
QFV,Stonefish
HCI,Orangebanded stingfish
AET,Warty prowfish
NPW,Whiskered prowfish
PTF,
CLI,Lingcod
ATK,Okhotsk atka mackerel
HUM,Atka mackerel
HXO,
HXQ,Kelp greenling
ESZ,Skilfish
SAB,Sablefish
CBF,Crocodile fish
ELI,Dwarf flathead
GMK,Spotfin flathead
GVM,Rough flathead
IGJ,Japanese flathead
KUD,Spiny flathead
OGG,
PEJ,Tentacled flathead
FLI,Bartail flathead
PFF,Northern sand flathead
PFB,Sand flathead
PHI,Tiger flathead
FTL,Deep-water flathead
TAN,Broadhead flathead
QEL,Celebes flathead
RUD,Orange-freckled flathead
ROW,Welander's flathead
RPQ,Blackblotch flathead
UAZ,Thorny flathead
SRQ,Halfspined flathead
QFR,Tuberculated flathead
LVI,
CEJ,Crocodile flathead
SBV,
GMU,Guinea flathead
FLH,Flatheads nei
HCP,
HBX,
ZSP,Antarctic horsefish
PZE,
CGP,
AHK,Alert pigfish
AHO,
ADL,
AHE,Scaled sculpin
AGZ,
ADO,
ADW,Coralline sculpin
ARJ,Rosylip sculpin
AEV,Spinynose sculpin
ACQ,
CVA,Sakhalin sculpin
CZK,Cherskii's sculpin
MXO,Longhorn sculpin
MXJ,Plain sculpin
MXV,Shorthorn sculpin
SCU,Sculpins
OLY,Fluffy sculpin
ATW,
BEZ,
CQZ,Roughback sculpin
CGQ,
DUM,
EHB,Buffalo sculpin
FUI,
GMH,
HPJ,Yellow Irish lord
IBU,Dusky sculpin
SMQ,Cabezon
CAZ,Sharpnose sculpin
LCH,Lavender sculpin
LCR,Pacific staghorn sculpin
MEE,Belligerent sculpin
MEH,
TFF,Scissortail sculpin
TGJ,Jordan's sculpin
TGM,Moustache sculpin
TGY,Bigeye sculpin
TGP,Spectacled sculpin
MIJ,Norway bullhead
IBI,Twohorn sculpin
MIS,Brightbelly sculpin
OML,
OTT,Snubnose sculpin
PIJ,Thornback sculpin
PLQ,Spineless sculpin
PSY,
PUV,
PUZ,
RLU,Smoothgum sculpin
RZX,
RRM,Puget Sound sculpin
SFU,Kelp sculpin
SJN,
SMK,
TUU,
TCF,Roughskin sculpin
TGQ,Fourhorn sculpin
VEU,
ZEO,
JZO,Longfin sculpin
SZG,Manacled sculpin
RRF,Grunt sculpin
SWU,Sculpins nei
BTJ,Bighead sculpin
PCK,Stone sculpin
CWK,Baikal yellowfin
CFK,Big Baikal oilfish
NRC,Mote sculpin
CVP,Polar sculpin
DYT,Spinyhead sculpin
EBV,
EYU,Smoothcheek sculpin
MGV,
PEF,
NEG,Pale toadfish
AJD,
AVU,Northern spearnose poacher
AVO,Smooth alligatorfish
AFO,Aleutian alligatorfish
BGS,Gray starsnout
BGI,Rockhead
HQD,Fourhorn poacher
LGD,Atlantic poacher
OCK,
OXT,Pygmy poacher
PBS,Tubenose poacher
PJO,
PQH,
SRF,Sawback poacher
TSG,
UCK,Arctic alligatorfish
KTL,Blacktip poacher
AFT,Hooknose
SXO,Pricklebreast poacher
LUM,Lumpfish(=Lumpsucker)
CJB,
EUJ,Leatherfin lumpsucker
EMZ,
LTW,
AVN,Smooth lumpsucker
ZLS,Lumpfishes nei
ABW,Redskinfish
TCT,Fortescue
TCG,
TCC,Marbled stingfish
TGI,
TGR,South Australian cobbler
HDU,
NPG,
NSU,Bullrout
OCP,
TPL,Wispy waspfish
TCE,Whiteface waspfish
TSN,G¸nther's waspfish
TEO,Bearded roguefish
VPD,
UHH,Draco waspfish
GGI,
HNJ,
PJC,African armoured searobin
PTQ,Armoured gurnard
PQL,
PWB,
SRY,
SSV,
SWC,Robust armoured-gurnard
AIO,Spiny snailfish
CAY,
CFU,
CJO,
CXM,Blacktail snailfish
CVG,
CZC,
CWQ,
CVH,
CXW,
CVR,
CWL,
CWV,
CWS,
CZY,Blotched snailfish
LCY,Spotted snailfish
LIH,Gulf snailfish
LIF,
LIU,Variegated snailfish
LIL,Striped seasnail
LIM,Montagus seasnail
LIS,Kelp snailfish
TZK,Tanaka's snailfish
LIA,Pygmy snailfish
NCP,Tadpole snailfish
OSD,Bigtail snailfish
PPN,
PBY,
PCJ,
PLG,
PIB,
PIV,
PSQ,
PXD,
PVM,
PVO,
PZD,
PZF,
PZN,
PZQ,
PVZ,
RNN,Slim snailfish
RIR,
ZGL,
LPX,Snailfishes nei
DYI,
DYW,Oriental flying gurnard
DYL,Flying gurnard
DYX,Flying gurnards nei
ERG,
MKA,
BMR,
BMJ,
PBU,
GGO,Red velvetfish
BTZ,
AIU,Short-armed waspfish
AIA,Ocellated waspfish
CTW,
OXI,Painted greenling
ZAF,Shortspine combfish
AEZ,
AQY,
CEB,Short-headed sculpin
LMI,
PWC,
BEO,Crested sculpin
HEV,
NAO,Sailfin sculpin
MSF,Mediterranean scaldfish
RLI,Imperial scaldfish
RNH,Thor's scaldfish
RGK,Cape scaldfish
RKZ,Scaldback
QXO,Spotless lefteye flounder
QXP,Drab flounder
RGX,Scaldfishes nei
TOJ,Angler flatfish
CBZ,Blue flounder
EGS,Speckled-tail flounder
JPD,
KAM,Wide-mouthed flounder
LFG,Crested flounder
NLM,Crosseyed flounder
BPK,
ESO,Striped-fin flounder
BSV,
TPK,
TBN,
TSJ,Caribbean flounder
OUB,Wide-eyed flounder
OHT,Pacific eyed flounder
OTL,
BWM,Mottled flounder
OUN,Leopard flounder
BTK,
OUO,Eyed flounder
BKU,
NBG,Pelican flounder
BML,Slim flounder
BVJ,Martensí moonflounder
EGG,Largescale flounder
LKU,Clear fin-base flounder
KZR,G¸nther's flounder
GRH,Threespot flounder
LEF,Lefteye flounders nei
NTJ,Scale-eye plaice
HAL,Atlantic halibut
HAP,Pacific halibut
AZP,Banded-fin flounder
PLE,European plaice
EOG,Arctic flounder
ALP,Alaska plaice
EOO,
EOM,
EOK,Cresthead flounder
RFE,English sole
GHL,Greenland halibut
DXR,Rikuzen flounder
EBH,Deep-sea sole
ARF,Arrow-tooth flounder
KAF,Kamchatka flounder
EOJ,Petrale sole
EPW,Shotted halibut
WIT,Witch flounder
GLZ,Rex sole
TKA,Willowy flounder
MBC,Comb flounder
PLA,Amer. plaice(=Long rough dab)
HGD,Flathead flounder
FTS,Flathead sole
NMH,Narrow-body righteye flounder
LDK,Peppered flounder
EOL,Southern lemon sole
EOT,Speckled sole
ZNZ,New Zealand sole
MJR,Tudor's flounder
MJO,Longsnout flounder
YES,Yellowfin sole
YEL,Yellowtail flounder
DAB,Common dab
EOR,Longhead dab
EON,
LKQ,Sakhalin sole
YEX,Limandas nei
CDJ,
DUO,
ROS,Rock sole
LSO,Dusky sole
KZC,Northern rock sole
LYW,Slender sole
MJC,Slime flounder
MIP,Dover sole
LEM,Lemon sole
TDW,Derwent flounder
FLE,European flounder
KAB,Stone flounder
PWQ,Starry flounder
YSE,Pacific sand sole
YFL,Yellow striped flounder
FLW,Winter flounder
LNY,Marbled flounder
IOO,
ONW,Remo flounder
RMP,Sand flounder
ROP,Greenback flounder
ROF,Yellowbelly flounder
FSA,Sand flounders nei
VSM,Barfin flounder
VSV,Spotted halibut
NYC,Ridged-eye flounder
NYD,Curlfin sole
NYV,Hornyhead turbot
EOE,C-O sole
HGL,Diamond turbot
CJJ,SÙhachi
ISI,Butter sole
OIG,
OIN,
OIO,
OCF,Coloured righteye flounder
PLZ,Righteye flounders nei
HNG,Black sole
YOL,
YNW,
YMW,Deep water sole
GSM,Solenette
DAK,
DXU,Tufted sole
LKE,
SOL,Common sole
SOS,Sand sole
OLJ,
OAO,Ovate sole
OAL,Senegalese sole
OLK,Blackhand sole
OAM,Adriatic sole
OAS,Snouted sole
EGY,Egyptian sole
SZI,Elongate sole
QFQ,Stanaland's sole
SOO,
HUX,Dwarf sole
YCP,Spotted sole
UDJ,Wavyband sole
ILY,
IME,
RNK,
CET,Wedge sole
DHZ,Ocellated wedge sole
SLJ,
YFA,
MHH,Whiskered sole
VNC,African solenette
ADJ,Peacock sole
ADT,Finless sole
ZBF,
ZBZ,Zebra sole
ZBQ,Fringefin zebra sole
ZMA,Convict zebra sole
ZMH,Indian zebra sole
OIC,Unicorn sole
HJO,Bamboo sole
HMP,Cape sole
ICI,True sole
GGK,
RGO,
RGY,Narrowbanded sole
QDZ,
YNC,Commerson's sole
YNG,White-margined sole
YNB,
YNU,Portuguese sole
YNY,Guinean sole
SOW,West coast sole
SOE,Mud sole
